OFFENSE,SHIFT,VOTING_PRECINCT,WARD,BLOCK,LATITUDE,LONGITUDE
THEFT F/AUTO,DAY,Precinct 74,5,3200 - 3299 BLOCK OF 7TH STREET NE,38.9299048904734,-76.99618256782229
THEFT F/AUTO,DAY,Precinct 91,6,400 - 499 BLOCK OF 13TH STREET SE,38.8834663374285,-76.9883131211652
BURGLARY,DAY,Precinct 5,2,2800 - 2899 BLOCK OF M STREET NW,38.9052439817399,-77.057564502361
BURGLARY,DAY,Precinct 15,2,1600 - 1699 BLOCK OF P STREET NW,38.9096392041323,-77.0375178102066
BURGLARY,DAY,Precinct 15,2,1600 - 1699 BLOCK OF P STREET NW,38.9096392041323,-77.0375178102066
THEFT/OTHER,DAY,Precinct 35,1,1690 - 1741 BLOCK OF LANIER PLACE NW,38.9256280622553,-77.0403055156837
THEFT F/AUTO,DAY,Precinct 16,2,1- 1 BLOCK OF SCOTT CIRCLE NW,38.9074504907621,-77.0365251307256
THEFT F/AUTO,DAY,Precinct 23,1,1200 1299  BLOCK OF CLIFTON STREET NW,38.9224244836165,-77.0288756726106
THEFT/OTHER,DAY,Precinct 79,5,800 - 899 BLOCK OF 20TH STREET NE,38.9012828450491,-76.9751908825534
THEFT F/AUTO,DAY,Precinct 91,6,400 - 499 BLOCK OF KENTUCKY AVENUE SE,38.883465958120105,-76.9849937710168
THEFT/OTHER,DAY,Precinct 143,6,550 - 599 BLOCK OF MASSACHUSETTS AVENUE NW,38.90139191823079,-77.01970206614959
THEFT/OTHER,MIDNIGHT,Precinct 43,1,3560 - 3599 BLOCK OF WARDER STREET NW,38.9344522722498,-77.0209337805388
ROBBERY,EVENING,Precinct 129,2,500 - 599 BLOCK OF 13TH STREET NW,38.8967234894519,-77.0296376230052
BURGLARY,EVENING,Precinct 5,2,2900 - 2999 BLOCK OF M STREET NW,38.905225426053704,-77.05864821711809
THEFT F/AUTO,DAY,Precinct 77,5,1500 - 1599 BLOCK OF LEVIS STREET NE,38.9044730681276,-76.98211865153651
THEFT F/AUTO,DAY,Precinct 142,6,650 - 699 BLOCK OF MAINE AVENUE SW,38.877987764523795,-77.0219198590355
THEFT/OTHER,DAY,Precinct 22,1,1300 - 1399 BLOCK OF U STREET NW,38.91699197458279,-77.03078760910691
ASSAULT W/DANGEROUS WEAPON,DAY,Precinct 95,7,946 - 1299 BLOCK OF DIVISION AVENUE NE,38.9034406703241,-76.9238295471667
BURGLARY,DAY,Precinct 23,1,1300 - 1399 BLOCK OF CLIFTON STREET NW,38.922423976679795,-77.0308591451836
THEFT F/AUTO,DAY,Precinct 47,4,3800  - 3899 BLOCK OF GEORGIA AVENUE NW,38.938144962308996,-77.0245912572209
THEFT F/AUTO,DAY,Precinct 36,1,1100 - 1299 BLOCK OF COLUMBIA ROAD NW,38.92768543400221,-77.02849722494871
THEFT/OTHER,DAY,Precinct 17,2,1300 - 1321 BLOCK OF 15TH STREET NW,38.9075862122369,-77.03456519885479
THEFT/OTHER,DAY,Precinct 91,6,1350 - 1399 BLOCK OF POTOMAC AVENUE SE,38.8798087686474,-76.98678090441979
THEFT/OTHER,DAY,Precinct 100,7,740 - 899 BLOCK OF KENILWORTH AVENUE NE,38.900867586318704,-76.9459205865101
THEFT/OTHER,DAY,Precinct 120,8,1500 1699  BLOCK OF ALABAMA AVENUE SE,38.8465309715677,-76.981557186925
THEFT/OTHER,MIDNIGHT,Precinct 55,4,400  - 499 BLOCK OF EMERSON STREET NW,38.9499739551734,-77.0185503298262
THEFT/OTHER,EVENING,Precinct 63,4,200  - 299 BLOCK OF CEDAR STREET NW,38.9756208049541,-77.0161450571219
THEFT F/AUTO,EVENING,Precinct 5,2,3100 - 3199 BLOCK OF SOUTH STREET NW,38.9034220422212,-77.0619670139239
THEFT F/AUTO,DAY,Precinct 22,1,2000 - 2099 BLOCK OF 11TH STREET NW,38.9175514183235,-77.0270402656893
THEFT/OTHER,EVENING,Precinct 16,2,1721 - 1799 BLOCK OF 14TH STREET NW,38.913712625630396,-77.031962295304
THEFT/OTHER,EVENING,Precinct 129,2,1000 - 1059 BLOCK OF MASSACHUSETTS AVENUE NW,38.9036877503071,-77.0262971676982
THEFT/OTHER,EVENING,Precinct 22,1,1200 - 1299 BLOCK OF U STREET NW,38.916992466081,-77.02886194230291
THEFT F/AUTO,EVENING,Precinct 5,2,1200 - 1299 BLOCK OF 31ST STREET NW,38.9059988310861,-77.0612083276307
THEFT/OTHER,EVENING,Precinct 123,8,2918 - 2999 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,38.845289230747,-76.9972353540793
THEFT F/AUTO,EVENING,Precinct 131,6,1100 - 1199 BLOCK OF 1ST STREET SE,38.8769987503491,-77.00587748321071
THEFT/OTHER,EVENING,Precinct 133,8,1800 1899  BLOCK OF MINNESOTA AVENUE SE,38.8698171398042,-76.97804808062541
THEFT/OTHER,EVENING,Precinct 74,5,500 - 799 BLOCK OF RHODE ISLAND AVENUE NE,38.920932635095795,-76.99716323213092
THEFT/OTHER,EVENING,Precinct 106,7,4600 - 4699 BLOCK OF HILLSIDE ROAD SE,38.8764749952375,-76.9326283965645
THEFT F/AUTO,EVENING,Precinct 129,2,703 - 799 BLOCK OF 9TH STREET NW,38.8994272990726,-77.0239669207698
THEFT/OTHER,EVENING,Precinct 72,5,1800 - 2299 BLOCK OF NEW YORK AVENUE NE,38.9172816475171,-76.97511613113191
MOTOR VEHICLE THEFT,DAY,Precinct 92,7,1500 - 1599 BLOCK OF KENILWORTH AVENUE NE,38.910312072478206,-76.9355250198375
THEFT/OTHER,DAY,Precinct 41,1,1400 - 1599 BLOCK OF NEWTON STREET NW,38.9325662866708,-77.0346119088991
THEFT/OTHER,DAY,Precinct 77,5,900 - 999 BLOCK OF BLADENSBURG ROAD NE,38.9022029472732,-76.9820154636605
THEFT/OTHER,DAY,Precinct 19,5,300 - 399 BLOCK OF P STREET NW,38.9096351671625,-77.0156804602973
BURGLARY,DAY,Precinct 83,6,600 - 699 BLOCK OF M STREET NE,38.9056364925182,-76.99777488296479
THEFT/OTHER,DAY,Precinct 60,4,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,38.9619710920902,-77.0279570992068
ROBBERY,DAY,Precinct 124,8,100 - 199 BLOCK OF ATLANTIC STREET SE,38.83107382923121,-77.00472199652509
THEFT F/AUTO,DAY,Precinct 115,8,2337 - 2435 BLOCK OF ALABAMA AVENUE SE,38.851654716160205,-76.9713603218838
MOTOR VEHICLE THEFT,EVENING,Precinct 103,7,4555 - 4612 BLOCK OF BENNING ROAD SE,38.887061961052396,-76.93638743604299
THEFT/OTHER,DAY,Precinct 11,3,2241 - 2318 BLOCK OF WISCONSIN AVENUE NW,38.920298190223605,-77.07156433566509
MOTOR VEHICLE THEFT,DAY,Precinct 127,6,400 - 499 BLOCK OF M STREET SW,38.876456889330704,-77.018750181628
THEFT/OTHER,DAY,Precinct 142,6,600 - 699 BLOCK OF H STREET SW,38.88031223914739,-77.020203346266
THEFT/OTHER,DAY,Precinct 23,1,1400 - 1499 BLOCK OF CHAPIN STREET NW,38.921549419123004,-77.03358024254591
THEFT F/AUTO,DAY,Precinct 64,4,6000  - 6099 BLOCK OF CHILLUM PLACE NE,38.9635416281496,-77.0075230829953
ASSAULT W/DANGEROUS WEAPON,DAY,Precinct 81,6,1700 - 1799 BLOCK OF GALES STREET NE,38.8979504607367,-76.9787887344154
THEFT/OTHER,DAY,Precinct 130,6,1 - 99 BLOCK OF MASSACHUSETTS AVENUE NE,38.897195382533795,-77.00839219444741
ROBBERY,EVENING,Precinct 103,7,4551 - 4600 BLOCK OF BENNING ROAD SE,38.8878999340969,-76.9367440023654
THEFT/OTHER,DAY,Precinct 17,2,1800 - 1899 BLOCK OF L STREET NW,38.9037370021658,-77.0425758481115
THEFT F/AUTO,MIDNIGHT,Precinct 88,6,1300 - 1399 BLOCK OF INDEPENDENCE AVENUE SE,38.8875830198737,-76.9869177782598
THEFT F/AUTO,DAY,Precinct 139,5,2400 BLOCK OF MARKET STREET NE,38.9205357239627,-76.9526631389814
THEFT/OTHER,EVENING,Precinct 19,5,1200 - 1499 BLOCK OF NORTH CAPITOL STREET,38.907636015455,-77.0090621296415
THEFT/OTHER,DAY,Precinct 60,4,5900 - 5999 BLOCK OF GEORGIA AVENUE NW,38.9619710920902,-77.0279570992068
THEFT/OTHER,DAY,Precinct 4,2,1200 - 1299 BLOCK OF 23RD STREET NW,38.906247345482704,-77.050105916767
MOTOR VEHICLE THEFT,DAY,Precinct 47,4,1700  - 1799 BLOCK OF UPSHUR STREET NW,38.9418701645348,-77.0399225094551
THEFT F/AUTO,DAY,Precinct 119,8,2200 - 2299 BLOCK OF SHANNON PLACE SE,38.8646480308791,-76.99102398607721
BURGLARY,MIDNIGHT,Precinct 77,5,1400 - 1499 BLOCK OF STAPLES STREET NE,38.9040679362117,-76.9837904364165
THEFT/OTHER,MIDNIGHT,Precinct 39,1,3100 - 3299 BLOCK OF 14TH STREET NW,38.9295130123787,-77.0327305534988
MOTOR VEHICLE THEFT,EVENING,Precinct 128,6,400 - 451 BLOCK OF SOUTH CAPITOL STREET,38.884457492150396,-77.0090707114397
THEFT F/AUTO,EVENING,Precinct 62,4,1200  - 1299 BLOCK OF HEMLOCK STREET NW,38.9811764541924,-77.0287725276491
THEFT/OTHER,EVENING,Precinct 129,2,1400 - 1499 BLOCK OF G STREET NW,38.898317122212504,-77.03280846352808
MOTOR VEHICLE THEFT,MIDNIGHT,Precinct 37,1,500 - 599 BLOCK OF U STREET NW,38.916553006921,-77.0194295136499
ROBBERY,EVENING,Precinct 6,2,1500 - 1529 BLOCK OF 35TH STREET NW,38.9092104053852,-77.06910891750691
THEFT/OTHER,EVENING,Precinct 35,1,1601 1699  BLOCK OF ARGONNE PLACE NW,38.926466476292205,-77.0384031315904
THEFT F/AUTO,MIDNIGHT,Precinct 18,6,1500 - 1599 BLOCK OF 9TH STREET NW,38.9103814529079,-77.0239706016711
THEFT F/AUTO,EVENING,Precinct 137,1,1800 - 1827 BLOCK OF 9TH STREET NW,38.914453221641104,-77.0239719701891
THEFT F/AUTO,MIDNIGHT,Precinct 18,6,800 - 899 BLOCK OF P STREET NW,38.909642871851204,-77.0234630443724
THEFT/OTHER,EVENING,Precinct 131,6,200 - 249 BLOCK OF M STREET SE,38.8764763661041,-77.0032498786885
ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,Precinct 57,4,200  - 299 BLOCK OF GALLATIN STREET NW,38.9522355808727,-77.0146861436883
MOTOR VEHICLE THEFT,MIDNIGHT,Precinct 67,5,1600 - 1699 BLOCK OF VARNUM PLACE NE,38.943406996743896,-76.9819473930703
THEFT/OTHER,MIDNIGHT,Precinct 102,7,100 222  BLOCK OF 35TH STREET NE,38.891817633649204,-76.9539847303726
THEFT/OTHER,MIDNIGHT,Precinct 41,1,1400 - 1509 BLOCK OF MERIDIAN PLACE NW,38.933575318555896,-77.03426639005241
THEFT/OTHER,MIDNIGHT,Precinct 80,7,2527 - 2699 BLOCK OF BENNING ROAD NE,38.897759348070394,-76.9699584725396
ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,Precinct 137,1,900 - 913 BLOCK OF FLORIDA AVENUE NW,38.9180655126649,-77.0242153377922
BURGLARY,MIDNIGHT,Precinct 54,4,4800  - 4817 BLOCK OF GEORGIA AVENUE NW,38.9486210689565,-77.0269943708424
THEFT/OTHER,MIDNIGHT,Precinct 69,5,2204 - 2399 BLOCK OF SHEPHERD STREET NE,38.9396488099191,-76.97297442253179
THEFT/OTHER,MIDNIGHT,Precinct 143,2,400 - 457 BLOCK OF MASSACHUSETTS AVENUE NW,38.9005185027319,-77.01720018883701
BURGLARY,DAY,Precinct 123,8,3012 - 3025 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,38.844478483720295,-76.9978459045168
THEFT F/AUTO,MIDNIGHT,Precinct 18,6,1600 - 1699 BLOCK OF 6TH STREET NW,38.911859584794605,-77.01990096959109
THEFT/OTHER,DAY,Precinct 100,7,3701 3810  BLOCK OF HAYES STREET NE,38.901751632849,-76.9486406370613
BURGLARY,DAY,Precinct 38,1,3200 - 3218 BLOCK OF GEORGIA AVENUE NW,38.9302989711299,-77.02342370902059
THEFT/OTHER,MIDNIGHT,Precinct 102,7,3900 - 3919 BLOCK OF BENNING ROAD NE,38.8948602173515,-76.94859948891279
THEFT F/AUTO,MIDNIGHT,Precinct 137,1,900 - 999 BLOCK OF T STREET NW,38.9155700251451,-77.02506776302658
THEFT F/AUTO,MIDNIGHT,Precinct 76,5,1931 - 1999 BLOCK OF MONTANA AVENUE NE,38.914912665571705,-76.9761201202122
THEFT F/AUTO,DAY,Precinct 22,1,1900 - 1999 BLOCK OF 11TH STREET NW,38.9162812437395,-77.02703978410271
THEFT/OTHER,MIDNIGHT,Precinct 68,5,600 - 699 BLOCK OF MICHIGAN AVENUE NE,38.9327830707554,-76.9970989804373
ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,Precinct 126,8,4200 - 4299 BLOCK OF SOUTH CAPITOL STREET,38.828488242501,-77.007681604003
THEFT F/AUTO,MIDNIGHT,Precinct 12,3,2600 - 2699 BLOCK OF 36TH PLACE NW,38.92415347452629,-77.07201795663279
BURGLARY,MIDNIGHT,Precinct 113,7,2900 - 2999 BLOCK OF PARK DRIVE SE,38.8652920808697,-76.9661696851656
THEFT/OTHER,DAY,Precinct 85,6,400 - 407 BLOCK OF 8TH STREET NE,38.8951056347622,-76.99496252535499
THEFT/OTHER,DAY,Precinct 18,6,1500 - 1599 BLOCK OF 7TH STREET NW,38.910381855927604,-77.02191828472749
THEFT F/AUTO,DAY,Precinct 70,5,1800 - 1999 BLOCK OF KEARNY STREET NE,38.9311369932716,-76.97785620391979
MOTOR VEHICLE THEFT,DAY,Precinct 95,7,5300 - 5399 BLOCK OF JAY STREET NE,38.9013683798292,-76.92326686749941
THEFT F/AUTO,DAY,Precinct 104,7,4900 - 5099 BLOCK OF IVORY WALTERS LANE SE,38.8811942241125,-76.930630088419
BURGLARY,DAY,Precinct 40,1,3517 - 3648 BLOCK OF 16TH STREET NW,38.935880780363604,-77.03645895716541
THEFT F/AUTO,DAY,Precinct 15,2,1600 - 1699 BLOCK OF Q STREET NW,38.9111255840667,-77.03750706208609
THEFT/OTHER,DAY,Precinct 22,1,2100 - 2199 BLOCK OF 14TH STREET NW,38.9186401860874,-77.03195297253009
THEFT/OTHER,DAY,Precinct 28,3,3701 - 3799 BLOCK OF MASSACHUSETTS AVENUE NW,38.9293859179337,-77.07423756731859
THEFT F/AUTO,DAY,Precinct 63,4,7000  - 7098 BLOCK OF SPRING PLACE NW,38.976151845233396,-77.01909954876442
THEFT/OTHER,DAY,Precinct 129,2,900 - 999 BLOCK OF N STREET NW,38.9072373283576,-77.02498412898301
THEFT/OTHER,DAY,Precinct 72,5,900 - 999 BLOCK OF RHODE ISLAND AVENUE NE,38.9222116506408,-76.9931501205792
THEFT/OTHER,DAY,Precinct 142,6,1000 - 1199 BLOCK OF 6TH STREET SW,38.8774296052465,-77.0199028918946
THEFT F/AUTO,DAY,Precinct 5,2,1000 - 1027 BLOCK OF 31ST STREET NW,38.9030080953886,-77.0611365892451
THEFT F/AUTO,DAY,Precinct 6,2,1000 - 1039 BLOCK OF POTOMAC STREET NW,38.9035284884474,-77.06501070058971
THEFT F/AUTO,DAY,Precinct 130,6,400 - 431 BLOCK OF 2ND STREET SE,38.8846649839337,-77.003526868829
BURGLARY,DAY,Precinct 125,8,600 799  BLOCK OF ATLANTIC STREET SE,38.830947756144795,-76.99657943782559
ROBBERY,EVENING,Precinct 2,2,2100 - 2499 BLOCK OF K STREET NW,38.9025259599365,-77.0499774104043
ROBBERY,EVENING,Precinct 129,2,900 - 999 BLOCK OF 9TH STREET NW,38.9014721914759,-77.0239906646866
ROBBERY,EVENING,Precinct 4,2,2100 - 2199 BLOCK OF L STREET NW,38.90373499164,-77.0477753347573
THEFT/OTHER,EVENING,Precinct 141,2,1900 - 1920 BLOCK OF 14TH STREET NW,38.915928675720004,-77.0319632884548
ROBBERY,EVENING,Precinct 25,1,2000 - 2059 BLOCK OF COLUMBIA ROAD NW,38.9174735087876,-77.0457896719324
THEFT F/AUTO,EVENING,Precinct 32,3,4200 - 4299 BLOCK OF HARRISON STREET NW,38.957017505782105,-77.082930948251
THEFT/OTHER,DAY,Precinct 36,1,1400 - 1499 BLOCK OF COLUMBIA ROAD NW,38.9274226952309,-77.03409044401201
THEFT/OTHER,EVENING,Precinct 53,4,5500  - 5599 BLOCK OF COLORADO AVENUE NW,38.956708994516795,-77.0328584155447
THEFT/OTHER,EVENING,Precinct 135,5,2200 - 2299 BLOCK OF 1ST STREET NW,38.919697896923,-77.0121540714412
ROBBERY,EVENING,Precinct 82,6,1001 - 1099 BLOCK OF FLORIDA AVENUE NE,38.9035553161519,-76.99207973676471
THEFT/OTHER,MIDNIGHT,Precinct 22,1,2100 - 2199 BLOCK OF 14TH STREET NW,38.9186401860874,-77.03195297253009
THEFT F/AUTO,MIDNIGHT,Precinct 129,2,600 - 699 BLOCK OF I STREET NW,38.9008602147904,-77.02091239417041
THEFT/OTHER,EVENING,Precinct 129,2,1200 - 1299 BLOCK OF PENNSYLVANIA AVENUE NW,38.895228294345706,-77.0288646645371
THEFT F/AUTO,MIDNIGHT,Precinct 129,2,600 - 699 BLOCK OF I STREET NW,38.9008602147904,-77.02091239417041
MOTOR VEHICLE THEFT,MIDNIGHT,Precinct 34,3,2500 - 2880 BLOCK OF PORTER STREET NW,38.9356209856479,-77.0556513234903
THEFT/OTHER,MIDNIGHT,Precinct 126,8,151 199  BLOCK OF JOLIET STREET SW,38.819380588485295,-77.008912748527
THEFT/OTHER,MIDNIGHT,Precinct 49,4,3700  - 3799 BLOCK OF GEORGIA AVENUE NW,38.936964914264294,-77.0244063034854
ROBBERY,MIDNIGHT,Precinct 56,4,900  - 1199 BLOCK OF GALLATIN STREET NW,38.9518821774681,-77.02649953270459
THEFT F/AUTO,MIDNIGHT,Precinct 137,1,1800 - 1899 BLOCK OF WILTBERGER STREET NW,38.91482315645371,-77.0208818966217
MOTOR VEHICLE THEFT,MIDNIGHT,Precinct 39,1,1600 - 1699 BLOCK OF KILBOURNE PLACE NW,38.9306643148105,-77.03850919085221
BURGLARY,MIDNIGHT,Precinct 96,7,200 289  BLOCK OF 58TH STREET NE,38.8918878517043,-76.9177902664202
ROBBERY,MIDNIGHT,Precinct 56,4,800  - 899 BLOCK OF KENNEDY STREET NW,38.9562965807006,-77.0248974894015
ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,Precinct 141,2,1921 - 1999 BLOCK OF 14TH STREET NW,38.9166403370442,-77.03195207652459
THEFT/OTHER,MIDNIGHT,Precinct 19,5,1500 - 1519 BLOCK OF NORTH CAPITOL STREET,38.9100052108419,-77.00905090084929
THEFT/OTHER,DAY,Precinct 100,7,3601 3764  BLOCK OF HAYES STREET NE,38.902467260731,-76.9494762906844
MOTOR VEHICLE THEFT,MIDNIGHT,Precinct 73,5,900 - 999 BLOCK OF HAMLIN STREET NE,38.927472502620894,-76.99305735413641
THEFT F/AUTO,MIDNIGHT,Precinct 16,2,1600 - 1628 BLOCK OF 13TH STREET NW,38.911488180183795,-77.0296322282788
THEFT F/AUTO,MIDNIGHT,Precinct 137,1,800 - 899 BLOCK OF T STREET NW,38.9155703579947,-77.0234649944424
THEFT F/AUTO,EVENING,Precinct 88,6,100 - 199 BLOCK OF 11TH STREET SE,38.88840320762571,-76.99152815550879
THEFT/OTHER,MIDNIGHT,Precinct 23,1,2300 - 2398 BLOCK OF 14TH STREET NW,38.920324765085795,-77.0318730069687
THEFT/OTHER,EVENING,Precinct 14,2,1800 - 1805 BLOCK OF CONNECTICUT AVENUE NW,38.914221374187704,-77.0461104377715
ROBBERY,MIDNIGHT,Precinct 19,5,1 - 99 BLOCK OF RANDOLPH PLACE NW,38.9133381654717,-77.0106079209081
THEFT/OTHER,MIDNIGHT,Precinct 129,2,700 - 799 BLOCK OF 7TH STREET NW,38.8991214156494,-77.0219263529351
THEFT F/AUTO,MIDNIGHT,Precinct 16,2,1400 - 1499 BLOCK OF Q STREET NW,38.9111178607248,-77.0332640214421
THEFT F/AUTO,MIDNIGHT,Precinct 129,2,600 - 699 BLOCK OF I STREET NW,38.9008602147904,-77.02091239417041
THEFT/OTHER,MIDNIGHT,Precinct 102,7,3900 - 3919 BLOCK OF BENNING ROAD NE,38.8948602173515,-76.94859948891279
ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,Precinct 105,7,5300 - 5399 BLOCK OF E STREET SE,38.8818397497847,-76.9256274969808
BURGLARY,MIDNIGHT,Precinct 24,1,2400 - 2479 BLOCK OF 16TH STREET NW,38.921845818969494,-77.0364979085974
ASSAULT W/DANGEROUS WEAPON,MIDNIGHT,Precinct 106,7,4300 4313  BLOCK OF SOUTHERN AVENUE SE,38.870487440061105,-76.9381076775416
THEFT F/AUTO,DAY,Precinct 23,1,1300 - 1399 BLOCK OF EUCLID STREET NW,38.9237571897423,-77.03092891432671
THEFT F/AUTO,DAY,Precinct 127,6,1200 - 1399 BLOCK OF DELAWARE AVENUE SW,38.874646814006795,-77.0144396936576
MOTOR VEHICLE THEFT,DAY,Precinct 83,6,1120 - 1199 BLOCK OF NORTH CAPITOL STREET,38.905165475702205,-77.0090657356382
THEFT/OTHER,DAY,Precinct 142,6,1200 - 1399 BLOCK OF MARYLAND AVENUE SW,38.8842019810919,-77.02911376797451
THEFT F/AUTO,DAY,Precinct 65,4,1  - 99 BLOCK OF JEFFERSON STREET NE,38.9556953877817,-77.00823756130609
THEFT F/AUTO,DAY,Precinct 17,2,1300 - 1399 BLOCK OF VERMONT AVENUE NW,38.9079026012917,-77.030633802624
THEFT F/AUTO,DAY,Precinct 127,6,1 - 15 BLOCK OF O STREET SW,38.8729717583005,-77.0094956330893
THEFT/OTHER,DAY,Precinct 43,1,3639 - 3649 BLOCK OF GEORGIA AVENUE NW,38.9354966096486,-77.0241751222164
