VOTERPRE2012,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016
Precinct 11,15,15,17,14,9.1,17,0.3,3.2,7.3,4.4,3,2.8,2.5,3.6,70,74,74,77,7.3,6.1,3.1,2.3,100,94,77,75,97454,125615,140447,181112,29,12,29,35,32,32,28,34,36,41,37,39,56,63,62,80,73,85,86,0,11,12,7,5,6,7,9,9,8,13,9,6,s,5,5,7,0,1.7,1.7,1.7,1.1,1.6,1.8,0.8,1.3,1.6,1.6,0.8,1.5,1.2,0.7,1.2,0.4,0.8,12,19,13,14,13,14,14,12,14,14,15,11,14,12,17,20,15
Precinct 12,9.1,4,3.1,9.2,2.5,0,5.7,7.1,0.4,2.4,1.2,2.2,0.5,2.1,63,74,65,63,10,8.2,1.3,2.4,100,100,93,87,214015,305550,444322,435446,43,45,-2,8,5,6,s,s,7,9,8,s,5,s,8,6,8,6,7,0,0,0,0,0,0,0,s,s,0,0,0,s,s,s,s,s,0,4.9,6.5,3.3,3.3,3.2,2.4,0.8,5.6,1.6,1.6,5.6,4,0,0,0,4,0.8,71,61,40,39,38,48,54,38,38,49,45,47,27,19,34,13,30
Precinct 13,8.2,4.9,3.6,5.7,4.8,4.3,1.8,1.5,1.8,3.6,4.4,2.8,1.2,2.7,71,74,76,73,11,6.5,5.2,2.6,100,98,74,63,254017,249911,312741,216664,-1.6,25,-31,s,s,5,5,19,23,20,14,6,8,13,15,28,17,18,14,16,0,s,0,0,0,s,0,0,0,0,s,s,s,s,0,0,0,6.2,5.3,7.7,4,6,4,2,4.7,3.9,4.3,3.1,2.3,8.1,2.3,2.7,1.5,3.1,46,37,40,52,28,29,41,38,25,36,32,30,52,30,48,55,48
Precinct 14,15,11,10,14,5.7,9.1,20,8,5.4,5.1,4.1,3.2,1.8,2.8,76,81,80,78,13,5.9,6.1,1.2,99,96,50,50,95786,174448,172999,206400,82,-0.8,19,36,31,33,31,30,41,33,35,33,36,47,49,61,59,53,46,51,5,7,6,11,6,s,8,s,s,8,10,5,6,5,s,s,13,13,14,18,17,16,11,12,13,13,10,12,14,10,4.6,6.6,5.8,7.1,90,89,85,87,80,75,64,74,82,77,71,79,87,77,83,82,106
Precinct 15,13,12,8.5,8.1,27,9,0,11,11,6.9,4.4,1.6,2.8,1,79,85,86,84,14,12,6,0.8,99,96,45,40,78443,100607,200762,159752,28,100,-20,52,56,55,66,54,52,48,65,64,65,84,73,73,64,67,65,68,19,22,22,26,27,13,11,12,20,30,27,13,9,6,8,10,13,11,8.6,9.1,9.7,6.7,7.1,7.3,5.8,7.8,6.6,6.6,6.2,5.6,3.5,2.4,4.7,2.9,86,72,68,56,49,53,44,43,50,53,32,52,49,42,46,45,43
Precinct 16,23,21,22,8.1,19,42,0.2,30,43,21,4.1,8.2,6,2.8,65,71,71,86,29,18,20,6.3,98,97,45,55,62057,78351,78524,190692,26,0.2,143,305,294,310,331,327,338,333,324,318,344,397,448,452,478,450,430,393,103,108,113,119,121,113,102,97,75,85,99,93,79,66,50,51,47,13,22,17,12,11,14,12,13,13,13,11,10,9.5,8.1,5.2,7.3,4.6,81,77,89,79,65,64,75,73,76,78,69,73,78,66,73,76,90
Precinct 17,24,23,24,12,20,40,7.4,29,40,28,5.5,7.9,6.4,3.7,59,66,67,79,33,24,24,11,96,98,43,43,63614,66520,75076,141210,4.6,13,88,605,560,582,605,586,646,723,763,781,731,815,938,1003,1074,979,938,849,177,191,220,200,196,181,167,144,118,123,133,130,114,105,91,86,80,21,21,16,18,17,16,17,14,15,10,12,17,14,9.7,8.4,9.3,9.7,197,156,163,129,106,100,99,101,107,104,86,85,101,93,105,102,103
Precinct 18,32,26,25,20,26,24,29,43,33,35,9.4,11,12,4.1,45,57,53,74,56,45,35,14,96,98,54,54,41330,55449,55796,89129,34,0.6,60,891,881,916,957,998,1001,993,985,927,989,1128,1229,1257,1221,1108,1120,1066,443,459,483,485,486,449,391,385,332,342,336,326,329,314,285,270,256,21,26,20,19,19,20,21,23,15,16,19,16,13,17,13,10,10,56,64,65,65,74,53,56,55,60,49,47,55,69,76,88,79,96
Precinct 19,30,19,21,13,23,28,26,20,19,14,13,12,19,9.4,43,57,48,70,59,38,29,8.8,95,97,59,74,45303,65593,64321,116535,45,-1.9,81,1007,946,897,913,953,918,854,776,828,927,990,1080,1022,989,888,833,763,587,522,482,430,463,434,384,310,322,346,338,335,289,282,282,231,205,29,27,27,29,22,20,19,18,16,18,20,16,20,15,15,16,18,42,45,46,58,50,39,35,58,49,52,41,49,75,52,64,64,67
Precinct 20,22,30,40,19,27,60,21,38,38,15,8.6,7.5,16,10,39,38,39,47,51,43,37,13,95,96,38,58,47506,46988,41577,92614,-1.1,-12,123,375,352,344,360,369,350,317,319,303,337,377,392,406,400,364,382,360,206,170,183,171,189,182,126,142,134,123,117,106,98,103,106,84,75,14,14,17,13,12,11,15,17,13,10,12,11,9.5,11,9.8,7.6,7.6,42,53,48,78,44,56,45,33,30,23,27,28,39,29,31,30,28
