VOTERPRE2012,PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016
Precinct 31,6.5,7.2,4.6,4.7,2.6,1.4,0.9,5.2,3.4,4,2.4,2.7,2.8,2.3,56,68,72,63,16,5.4,3.4,1.1,100,100,87,88,128000,165279,229532,199554,29,39,-13,6,7,7,6,7,12,14,12,12,17,24,29,21,26,28,36,41,0,0,0,0,0,s,s,0,0,0,0,s,s,s,s,s,s,4.5,5.7,4.3,3.5,3.7,2.7,1.9,4.5,3,4.8,4.2,4.5,2.7,2.2,2,2,3.6,48,41,41,44,43,36,37,69,77,70,59,59,61,83,71,74,64
Precinct 32,5,5.5,2,4,1.1,0,0,7.9,10,0,2.2,2.8,1.3,3.5,65,67,73,66,8.7,5,4.4,0.7,99,99,88,86,146891,221866,259148,255862,51,17,-1.3,33,27,31,28,32,35,45,47,44,51,62,72,80,89,84,104,98,s,0,8,s,0,0,s,s,8,8,7,10,6,6,9,5,5,7.5,9.5,8.5,6.8,5.7,4.9,8,5.3,3.3,4.6,5.6,2.6,3,3,4.3,3.3,4.1,76,63,70,78,73,57,44,33,41,50,40,37,52,67,54,51,42
Precinct 33,4.2,5.1,7,5.1,0,3.5,0,3.2,9,9,2.7,3,1.6,1.7,69,74,79,74,8.9,6.8,4.6,2.1,100,99,77,69,118541,158280,198746,195113,34,26,-1.8,11,13,17,21,19,14,19,25,21,36,39,36,49,55,41,50,70,0,5,8,5,s,s,s,6,s,s,9,6,13,9,7,8,8,2.8,3.2,1.6,2,0.8,0.8,0.6,2,1.9,2.9,1.4,1.4,2.3,0.8,2.3,3.1,2.3,20,22,23,17,20,18,12,25,28,27,21,24,32,32,38,39,27
Precinct 34,6.4,2.8,4.3,11,0,3.7,5.2,3.1,5.1,6.8,2.9,0.9,2.1,3.6,66,74,75,77,11,5.7,1.6,0.8,99,97,67,63,131226,173821,170395,194520,32,-2,14,14,15,17,10,13,13,17,16,15,16,21,37,37,35,42,45,35,s,s,s,s,0,s,s,s,s,s,0,0,0,0,0,0,0,3.4,4.9,4.1,2,2.3,3.1,2.3,1.2,1.4,1.6,2.2,0.7,0.4,1.3,0.6,0.6,0.4,44,34,36,40,30,27,24,17,18,20,18,18,7.4,13,12,12,8.8
Precinct 35,17,12,11,10,18,24,5,11,10,9.9,7.8,3.3,3.6,8.5,75,80,78,78,24,20,13,3.8,99,96,55,53,59545,73691,89070,157043,24,21,76,238,239,227,232,229,212,211,209,184,234,262,318,331,335,305,310,291,95,88,84,74,64,55,44,44,41,57,60,61,44,55,50,53,46,8.5,13,18,15,16,14,12,15,8.5,10,9.8,10,12,9.1,4.8,8,6.1,46,52,45,57,43,40,50,39,35,29,32,37,39,49,48,38,42
Precinct 36,33,35,32,17,50,40,31,45,37,35,10,10,8.4,7.5,52,55,57,75,50,49,48,15,94,96,39,47,42143,44860,52930,78277,6.4,18,48,1437,1328,1306,1319,1276,1322,1259,1247,1274,1423,1669,1871,1909,1987,1845,1831,1737,756,741,742,700,678,647,572,530,554,592,599,611,592,578,519,453,432,11,14,12,16,14,15,15,12,13,8.6,8.9,13,9,10,8.7,9.5,8.8,30,37,43,35,26,29,35,41,37,33,31,38,33,46,46,40,31
Precinct 37,23,29,33,19,32,43,34,35,31,32,9.6,11,12,10,43,44,46,53,55,48,42,20,96,97,42,58,49420,49990,45857,82120,1.2,-8.3,79,739,738,725,772,782,790,741,700,659,757,905,1081,1100,1111,1018,1000,918,421,397,388,378,398,393,313,290,288,282,289,278,282,273,248,210,181,22,28,19,17,16,23,21,17,22,19,16,12,16,15,14,10,11,87,90,79,91,79,68,65,59,73,60,44,53,69,74,80,73,115
Precinct 38,15,21,21,14,23,32,21,18,13,12,8.3,13,17,6.8,50,49,51,68,49,43,42,23,95,97,55,67,57511,54475,57969,94037,-5.3,6.4,62,742,767,792,836,821,872,790,710,649,811,988,1082,1100,1134,1044,1015,914,459,504,513,501,478,480,378,336,290,314,360,325,298,287,263,246,201,29,19,32,34,23,15,22,21,24,20,19,13,13,18,9.7,13,9.9,61,53,55,58,59,47,50,47,51,46,43,47,55,57,61,58,51
Precinct 39,21,21,26,15,33,36,28,39,36,21,6.6,6.9,8.1,4.9,63,69,65,75,37,35,37,12,94,98,53,53,60995,64397,80320,112365,5.6,25,40,855,817,725,696,743,765,738,735,753,882,1038,1174,1213,1211,1134,1147,1090,441,426,381,338,381,346,319,321,320,338,365,354,330,316,282,245,255,16,14,23,27,16,24,17,25,25,20,21,22,19,16,14,13,12,47,57,62,57,39,38,56,65,68,71,81,82,97,93,111,107,85
Precinct 40,19,14,17,14,23,32,23,13,19,18,5.5,5,5.8,6.2,68,73,68,74,22,25,28,9.9,97,96,56,48,78024,82347,87362,115167,5.5,6.1,32,359,324,311,312,322,295,305,330,320,432,533,647,671,705,656,671,706,113,120,122,126,121,92,92,111,82,98,118,114,122,99,89,99,122,6.7,7.4,7,8.1,7.3,7.1,7.2,6.3,5.6,5.8,4.9,5,3.4,6.9,3.1,3,3.5,34,33,44,37,26,23,36,21,26,27,18,22,21,34,34,30,21
Precinct 41,24,25,29,18,28,34,29,37,31,37,7.9,7,10,7.8,56,67,54,74,48,55,53,23,90,97,40,43,48151,48694,52855,55363,1.1,8.5,4.7,1037,954,834,794,861,894,889,881,925,1055,1294,1454,1529,1530,1419,1475,1382,517,498,446,381,419,425,391,377,392,426,432,421,421,364,325,316,310,20,9.7,19,22,20,19,22,24,20,20,14,16,13,13,10,13,8.9,37,35,38,38,38,32,40,39,34,41,36,40,39,40,43,45,33
Precinct 42,22,12,20,7.5,10,23,13,17,29,3.4,10,7.3,14,5.3,48,60,55,81,50,42,48,14,91,97,52,61,61177,56832,70681,106565,-7.1,24,51,349,335,310,306,316,327,300,257,252,324,458,541,540,542,510,498,460,190,190,178,167,165,155,124,112,95,97,126,130,122,107,91,85,88,16,14,15,22,19,15,17,14,13,16,11,10,12,12,4.5,8,5.9,35,41,41,41,41,28,42,40,38,46,44,48,51,83,62,60,63
Precinct 43,14,20,23,15,23,35,21,17,14,11,8.2,14,16,7.2,49,49,50,66,46,41,41,25,95,97,54,65,57614,55194,57867,96850,-4.2,4.8,67,436,456,471,503,489,522,473,433,401,497,601,647,653,666,612,586,516,267,296,308,313,291,294,235,216,182,201,219,197,181,181,167,147,118,22,21,27,36,32,24,32,26,26,23,16,15,18,15,10,14,5,46,48,54,59,64,51,55,52,38,61,75,65,83,92,83,95,87
Precinct 44,17,13,17,22,9.1,9.3,24,14,8.5,23,5.6,9.2,25,8.6,42,33,48,50,36,22,17,13,98,89,74,70,60283,73111,71064,60398,21,-2.8,-15,257,236,254,324,366,423,391,427,467,521,659,794,846,877,848,962,919,136,141,147,186,184,180,144,163,181,199,210,234,214,211,205,212,183,7.8,9.6,7.8,18,8.6,11,12,6.1,8.6,7.9,6.6,5.1,5.6,4.9,6.1,6.6,5.1,41,66,62,58,54,48,37,37,41,29,26,19,21,27,31,24,17
Precinct 45,11,9,16,8.8,5.4,25,7.4,16,16,7.3,4.2,8.7,11,9.5,55,60,50,66,44,38,31,12,97,98,69,79,73784,76733,81027,104544,4,5.6,29,390,344,345,399,419,418,440,442,458,569,657,730,752,747,656,657,572,221,190,225,228,238,229,213,190,187,211,222,213,235,215,176,172,152,9.6,13,12,11,13,13,15,15,15,16,11,7.2,5.6,6.9,3.3,6.2,3.9,35,39,43,35,35,29,24,42,34,41,45,18,27,33,28,27,20
Precinct 46,10,9.3,16,10,7.4,25,10,17,16,8.9,4.7,8.6,9.7,10,56,60,51,65,44,37,31,13,97,98,70,79,75097,77069,83551,103298,2.6,8.4,24,557,499,507,559,583,595,622,613,658,804,937,1062,1099,1102,992,994,872,318,284,328,321,329,321,306,267,268,296,303,310,337,311,263,254,225,10,5.3,15,16,8.6,12,11,17,14,13,15,8,7.7,12,12,5.7,6.5,36,35,49,40,30,35,31,28,27,31,24,25,30,33,28,25,21
Precinct 47,17,14,17,13,17,24,20,12,8,8.8,4.6,6.8,6.5,6.2,56,64,55,73,37,31,36,19,98,99,61,63,86940,86180,83279,136049,-0.9,-3.4,63,524,437,468,523,556,606,606,588,581,816,1099,1337,1519,1549,1371,1426,1315,298,261,263,252,246,299,266,219,212,244,297,304,339,328,291,259,221,17,11,15,14,13,16,14,12,14,12,11,13,12,14,11,10,8.2,49,39,51,43,44,31,36,30,32,30,27,34,37,48,55,52,60
Precinct 48,10,7.3,11,16,2.4,9.2,20,11,14,27,4.3,5.1,7.5,9,58,62,56,62,31,27,22,14,99,98,74,75,109560,110490,137838,148384,0.8,25,7.7,279,277,254,295,340,330,353,357,361,469,568,659,737,717,643,637,629,122,120,99,110,139,122,133,125,109,123,135,160,173,157,142,137,142,12,8,13,14,15,8.8,12,15,9.6,12,8.8,5.4,8.3,11,6.6,9.2,9.2,49,53,56,45,40,40,33,36,38,35,29,38,46,45,59,47,34
Precinct 49,17,14,18,13,15,24,19,13,11,11,5,8.5,8,7.2,54,61,53,72,42,37,40,19,97,98,58,62,65993,65612,61395,112129,-0.6,-6.4,83,138,117,122,140,148,157,160,161,157,214,279,332,368,371,326,335,304,77,67,71,71,72,81,72,62,60,70,84,82,92,88,76,68,59,16,9.8,4,10,15,20,13,23,24,21,19,20,15,18,11,9,11,47,29,41,23,34,30,28,45,30,44,67,65,60,65,73,71,55
Precinct 50,8.2,4.3,5.8,8.2,0.8,1.9,2.5,7.5,13,5.1,1.9,3.3,3.4,4.1,61,67,63,67,13,5.7,8.7,4.8,99,97,78,77,123408,183797,242829,270315,49,32,11,23,17,15,18,22,23,26,18,19,23,36,36,46,57,53,59,58,0,0,0,s,s,s,s,s,s,s,5,s,s,s,s,s,s,2.6,3.3,2.8,2.6,2.6,1.8,2.1,0.3,1,1.3,0.3,1,1.3,0.5,0.8,0.5,0,23,22,21,24,24,19,15,10,10,12,13,14,18,24,14,13,15
Precinct 51,3.5,2.3,1.7,2.3,1.2,0.1,0.8,3.7,3.7,0.5,3,2.2,2,3,57,64,64,65,6.2,3.3,2.3,1.3,100,99,90,96,148996,179051,216675,246153,20,21,14,s,8,6,7,10,6,5,7,7,9,15,25,29,30,22,31,21,s,s,s,0,s,0,s,s,0,0,s,s,s,6,s,5,0,0.7,1.1,0,0.5,0.5,0.2,0.5,0.2,0.5,0,0.7,1,0,0,0.9,0.2,0.7,16,17,14,15,11,12,8.4,10,10,19,13,12,9.7,12,20,11,14
Precinct 52,7,5.5,10,7.4,0.4,2.6,4.2,15,26,2.3,2.2,2.4,1.9,3,60,65,46,67,11,8.1,14,7.2,98,99,78,80,130915,163525,176600,239167,25,8,35,12,9,8,10,12,12,14,10,11,13,20,21,26,32,29,34,32,0,0,0,s,s,s,s,s,s,s,s,s,s,s,s,s,s,0.6,1.3,0.3,0.7,2.2,0.4,0,1.2,0.8,0,0.5,1.8,0.9,0.5,1.4,0.5,0.5,15,14,13,20,8.1,15,11,14,14,23,21,17,15,33,21,17,15
Precinct 53,9.1,15,17,6.8,21,15,3.1,23,20,13,6.7,6,3,7.5,66,68,56,62,21,27,26,21,97,96,61,68,81470,95964,106284,129112,18,11,21,175,184,140,188,199,189,189,210,218,302,392,459,498,535,516,531,516,81,95,75,86,103,92,71,66,79,109,114,123,128,113,84,79,79,7.6,5.3,7.7,13,16,11,10,14,14,8.1,10,3.8,7.3,8.5,8.5,7.3,7.3,30,38,48,40,40,50,33,33,30,23,32,34,32,30,38,26,27
Precinct 54,10,7.1,9.6,13,7,11,18,16,12,6,6.5,8.1,7.2,11,58,64,56,65,33,32,23,14,100,99,76,85,80495,87680,100676,121171,8.9,15,20,301,256,261,276,289,351,339,333,386,519,669,774,826,827,761,733,683,139,124,123,135,129,149,128,124,136,172,195,184,180,182,144,141,136,10,5.7,9.1,17,14,10,9.6,16,15,14,13,7.9,17,9.8,18,19,12,57,43,46,49,54,43,29,46,40,33,32,37,46,52,63,52,48
Precinct 55,8.8,11,14,16,13,19,18,17,16,17,5.9,8.9,6.5,14,58,58,54,60,41,31,30,15,98,96,70,73,74434,74510,75349,92896,0.1,1.1,23,484,464,449,458,477,528,544,558,607,740,924,1097,1152,1147,1098,1066,953,265,264,275,255,254,271,268,237,246,271,307,357,366,355,324,278,254,5.7,10,9.3,8,8.8,9.1,8.5,11,12,13,14,8.6,11,12,11,6.7,7.5,26,29,44,32,24,24,23,24,26,24,24,24,22,33,27,22,18
Precinct 56,12,12,17,15,19,26,27,15,15,14,8.2,8,8.5,11,60,59,52,64,43,33,29,16,99,97,65,67,69784,68242,68870,80397,-2.2,0.9,17,706,662,641,695,781,829,869,848,909,1217,1460,1683,1809,1820,1683,1742,1515,377,391,402,383,421,408,427,393,409,467,502,527,584,561,486,469,415,16,13,14,22,18,14,14,17,15,17,17,11,13,11,11,13,6.3,48,36,41,33,33,35,31,33,29,27,29,29,25,26,27,27,24
Precinct 57,11,8.2,11,21,9.4,14,34,13,9,18,8.6,6.4,10,12,57,61,52,60,38,28,26,10,98,94,65,72,72792,75036,70546,81037,3.1,-6,15,541,482,490,551,567,599,616,611,686,809,1023,1177,1251,1279,1148,1156,1066,302,293,298,304,291,288,280,266,292,327,370,395,390,382,326,262,248,12,11,14,16,12,15,12,14,15,13,14,9,13,11,12,11,6.8,33,39,43,37,29,28,28,35,25,32,35,31,27,36,36,38,23
Precinct 58,8.6,9.2,14,12,13,23,25,11,9.9,13,7.1,6.7,7.1,9.4,59,60,53,63,38,29,25,13,99,98,73,75,79203,81625,81216,86330,3.1,-0.5,6.3,348,323,314,347,403,428,444,449,492,643,766,878,936,932,880,895,778,184,194,201,191,211,199,201,197,210,231,254,271,294,276,246,243,208,11,7,6.2,12,11,11,9.7,12,9.7,8.8,10,7,14,11,6.7,7,4.1,38,29,37,38,30,43,35,23,16,24,23,23,22,35,27,20,26
Precinct 59,5.5,6.1,11,10,6.4,17,20,8.3,7.3,15,5.8,5.8,5.5,8.8,57,59,55,61,34,24,23,8,99,98,80,85,87009,93939,92146,95125,8,-1.9,3.2,262,239,240,271,320,345,355,386,435,531,632,728,760,744,727,710,620,141,148,157,150,161,149,141,151,166,171,198,221,226,203,192,193,158,11,5.2,11,12,14,9.6,8.7,8.2,11,13,9.1,10,9.7,8.2,7.3,7.9,5.8,37,37,45,47,30,37,25,34,39,35,44,51,37,39,50,57,49
Precinct 60,10,9.3,15,15,11,21,19,13,15,16,5.6,6.5,8,8.6,67,68,60,64,25,24,27,21,98,98,64,73,85911,79859,73903,72222,-7,-7.5,-2.3,306,312,305,365,401,420,480,459,504,671,928,1220,1415,1427,1342,1464,1476,142,143,147,159,155,176,209,166,191,226,251,283,332,303,306,307,279,6.9,9,12,15,11,11,9.2,16,10,8.7,7.9,6.1,12,5.9,5.9,11,8.1,31,36,39,35,30,23,16,26,26,22,20,22,25,31,61,56,41
Precinct 61,10,9.4,15,15,11,22,20,13,14,16,5.3,6.3,7.8,8.9,68,68,61,64,26,25,27,21,98,98,64,73,83566,79005,73084,69737,-5.5,-7.5,-4.6,173,177,176,209,230,241,275,260,286,376,523,692,799,801,749,819,824,80,82,87,94,90,103,123,97,109,128,141,162,187,171,172,173,156,5.4,5.4,11,17,8.9,6.2,7.9,15,9.5,13,7.6,5.9,10,9.6,8.6,11,7.6,33,38,46,43,45,33,28,30,33,23,23,19,29,36,54,43,37
Precinct 62,3.3,2.4,5.1,5.2,0,6.9,3,3.8,5.6,6.8,5.3,3.8,3.8,9.1,71,72,67,61,10,6.4,3.5,3.1,99,97,90,95,160515,178584,184785,199221,11,3.5,7.8,75,70,76,90,93,109,105,132,146,208,245,272,295,302,301,314,312,34,34,40,41,46,61,42,53,57,64,57,73,81,90,95,90,97,4.5,5.4,3.5,6.8,5.1,5.1,5.6,6.3,7.3,3.5,6.5,3.2,6.5,7.4,3.5,3.7,5.6,36,41,40,46,30,31,27,36,34,43,34,35,49,40,58,45,36
Precinct 63,8.3,7.5,10,16,6.4,11,22,7.4,12,8.4,4.5,5.7,6.3,12,64,66,63,62,25,21,18,12,98,99,82,82,84563,98965,99079,101955,17,0.1,2.9,298,290,248,259,303,330,366,366,369,449,502,588,664,692,654,639,585,167,151,127,123,148,137,147,155,144,171,192,180,204,190,192,187,177,12,9.9,14,14,15,12,14,15,12,12,6.6,8.4,5.2,5.8,5.6,5.8,7.2,52,62,55,49,47,47,34,39,44,42,43,44,39,44,68,55,44
Precinct 64,7.2,6.2,7.4,11,7.6,8.2,20,10,7.1,9.9,5.6,5.5,7.8,13,60,60,52,61,31,25,18,11,99,98,78,80,85074,85850,88666,102140,0.9,3.3,15,248,222,228,259,295,304,310,294,342,421,498,585,607,612,563,556,518,141,130,136,146,160,152,140,133,147,159,173,181,185,167,151,140,136,6.6,8.7,9.8,12,8.4,12,10,9.8,11,9.1,8,7.7,8,6.6,5.2,4.5,4.9,40,45,61,45,40,39,39,44,37,35,47,42,36,41,50,53,33
Precinct 65,3.5,4.8,10,10,4.7,19,13,10,8.9,12,5.2,4.6,6.9,23,63,58,48,48,29,21,17,14,99,100,82,74,87838,84040,81241,87327,-4.3,-3.3,7.5,227,212,229,234,288,284,293,279,349,439,508,644,669,667,609,624,569,128,122,146,144,170,160,146,133,152,168,167,181,196,183,173,161,156,6.6,7.2,8.1,13,11,11,9.2,11,11,11,6.7,6.4,5.5,6.4,8.2,11,7.9,26,32,34,31,32,23,20,25,23,24,23,28,26,21,30,39,49
Precinct 66,6.1,2.8,5.7,6,2.4,9.9,0.7,3.9,5.5,12,6.5,4.9,6.3,19,66,61,53,56,26,21,20,9,99,99,86,80,83255,94483,84957,85163,13,-10,0.2,376,331,320,371,441,478,484,520,587,712,848,1055,1138,1137,1103,1122,1037,215,215,203,205,218,237,216,223,267,267,287,321,337,298,322,311,264,3.4,4,7,9.8,5.7,7.2,6.7,9.2,8.5,9,6.2,5.7,5.7,6.9,4.5,5.3,4,21,25,27,24,21,22,17,20,24,22,22,25,26,19,32,24,20
Precinct 67,7.7,5.2,9.6,10,3.6,8.3,7.2,8.2,9.3,13,4.1,5.2,10,11,60,64,51,52,23,18,14,6.7,99,99,86,88,89629,106963,94742,93945,19,-11,-0.8,152,145,147,172,206,220,228,249,274,335,406,511,522,503,490,474,427,107,99,94,94,92,106,105,97,114,112,147,176,162,163,158,138,130,5.2,6.3,6.3,2.8,3.6,4.1,7,5,4.2,4.5,3.7,4.3,5.9,5.3,4.8,4.5,4.5,29,29,29,27,27,32,28,20,22,21,26,32,39,31,49,46,25
Precinct 68,12,8.9,13,16,6.4,9.8,17,9.2,11,16,4.3,7.4,21,12,63,60,49,51,26,20,19,12,99,99,77,82,75189,88766,82411,75116,18,-7.2,-8.9,257,251,262,325,378,411,394,420,470,552,663,815,870,864,826,882,824,153,161,166,184,190,195,178,180,193,208,225,249,235,222,211,205,180,10,11,8.6,10,8.7,15,13,15,9.3,9.3,8.3,6.9,8.3,9,8.3,7.9,7.9,34,47,37,44,42,43,37,36,36,37,31,33,45,43,44,43,55
Precinct 69,9.3,7.6,8,12,5.8,7.1,1.1,8.7,11,7.1,8.3,9.1,10,18,52,52,50,51,29,26,22,10,99,99,81,80,86347,87685,101682,96706,1.5,16,-4.9,176,159,174,212,218,244,248,221,249,323,372,476,473,443,403,426,393,97,110,121,117,106,111,102,98,98,106,119,147,136,104,86,98,93,6.7,10,11,11,8.2,9.3,15,8.1,11,8.5,7.4,10,7.4,6.7,6.3,7.4,8.5,44,56,47,49,52,36,33,30,35,36,38,43,46,50,61,65,60
Precinct 70,11,7.3,11,10,6.3,9.2,0.6,8.2,11,11,5.5,8.7,11,17,55,56,52,54,31,24,19,9.3,99,99,85,83,79856,90539,97584,100283,13,7.8,2.8,118,121,131,151,161,180,195,177,182,231,269,332,350,336,302,312,283,63,77,85,76,78,89,90,81,69,78,81,98,99,85,66,69,60,16,11,13,12,15,16,19,9.4,12,7.4,7.9,10,7.4,11,12,14,12,59,82,59,70,58,45,53,38,35,37,39,48,53,69,71,63,88
Precinct 71,8.4,10,15,19,11,19,5.4,11,12,21,6.9,7.9,14,16,52,55,45,51,36,30,27,18,99,98,82,85,90485,81765,79419,100981,-9.6,-2.9,27,368,312,343,414,508,515,470,471,554,673,729,859,926,938,911,907,868,185,165,199,203,266,258,228,208,216,220,234,243,256,273,274,271,266,19,23,16,25,14,18,13,14,9,12,11,10,20,12,13,12,15,81,91,80,72,63,76,51,61,55,55,53,64,80,79,78,98,69
Precinct 72,21,19,24,26,27,40,34,21,16,21,9.2,12,13,15,51,50,44,50,41,41,30,17,99,98,61,68,67778,63346,70065,72272,-6.5,11,3.1,1172,1190,1282,1468,1690,1776,1720,1688,1823,2047,2188,2462,2747,2802,2705,2667,2459,751,790,838,859,1007,1057,988,907,899,928,929,940,1027,1030,1068,1019,976,24,19,21,22,19,25,20,21,19,14,17,20,17,16,15,16,14,68,67,66,82,80,82,67,66,50,52,47,70,51,68,86,82,65
Precinct 73,14,11,14,7.7,12,15,0,13,9.1,16,3.7,7.1,12,14,61,60,53,60,33,25,21,11,98,98,81,84,70846,84653,86325,100687,19,2,17,152,162,198,234,243,282,291,267,267,333,377,433,464,468,423,415,390,87,98,122,115,121,142,146,116,92,118,122,123,125,120,102,87,86,16,14,12,18,13,22,16,21,19,11,9.8,12,15,13,12,15,14,78,74,64,59,49,53,51,44,36,43,60,51,50,52,84,62,50
Precinct 74,23,20,25,28,29,37,35,26,17,25,5.8,11,13,20,55,56,50,53,43,38,33,17,98,96,53,56,64800,63542,52742,74501,-1.9,-17,41,936,911,943,1102,1252,1290,1241,1254,1263,1509,1704,1959,1990,2004,1880,1819,1723,540,508,554,530,567,607,609,545,559,586,614,654,617,594,537,481,453,16,17,16,15,16,19,18,13,14,17,12,10,14,12,13,15,14,52,51,54,48,48,49,32,48,47,42,45,34,52,55,73,65,55
Precinct 75,17,15,22,17,12,25,22,14,16,12,8.7,9.1,15,9.2,59,53,47,65,54,40,34,13,94,96,53,69,62930,63584,70990,101792,1,12,43,1040,982,1008,1135,1211,1182,1052,1017,1060,1211,1224,1388,1398,1360,1276,1210,1027,596,524,527,564,574,508,427,413,375,408,379,404,400,347,335,327,283,20,26,19,21,21,22,25,20,20,23,22,28,17,13,14,12,11,44,48,52,72,72,48,44,83,53,47,54,57,69,49,71,57,51
Precinct 76,34,27,38,46,35,51,52,23,32,39,7.7,12,29,23,44,44,39,39,49,48,28,20,94,96,42,49,35490,43094,41531,34161,21,-3.6,-18,577,668,719,783,923,942,904,900,1029,1076,1192,1333,1437,1490,1380,1259,1176,347,414,440,432,499,428,416,370,411,396,411,447,477,455,428,392,378,53,64,51,80,57,61,56,56,49,39,42,34,42,38,43,44,52,124,144,150,192,228,152,147,191,170,145,99,137,157,147,140,152,158
Precinct 77,20,21,29,26,27,43,41,27,22,17,8.9,11,20,17,49,52,39,52,59,46,42,15,95,96,56,63,55636,60467,60098,78043,8.7,-0.6,30,917,856,837,953,1133,1186,1127,1071,1189,1396,1517,1557,1600,1642,1420,1335,1182,586,501,476,539,682,674,582,519,560,562,500,507,494,505,443,412,350,28,24,18,25,20,26,18,18,18,18,13,16,20,17,16,19,19,51,45,43,44,47,43,46,51,47,45,48,39,48,52,64,53,52
Precinct 78,23,21,26,32,27,38,45,24,16,11,6.4,8.4,13,16,58,59,49,49,55,50,40,23,94,96,52,53,48116,47818,52587,39677,-0.6,10,-25,1169,1150,1181,1434,1698,1730,1635,1529,1687,1984,2159,2390,2434,2422,2180,2048,1843,727,693,679,776,900,856,838,712,771,814,760,803,826,802,751,700,599,23,21,25,23,26,22,19,20,16,11,15,13,17,12,16,15,18,39,38,42,45,43,41,42,36,31,32,35,42,43,45,49,49,44
Precinct 79,28,27,36,25,38,51,12,22,23,34,9,12,14,19,51,51,44,53,61,47,38,24,93,98,39,45,38735,45762,36694,52306,18,-20,43,898,954,1060,1254,1433,1475,1402,1414,1457,1611,1705,1862,1852,1845,1828,1793,1633,517,556,635,668,780,769,713,674,653,643,594,585,567,542,531,508,468,41,36,35,42,32,41,36,38,38,38,30,24,31,26,28,30,26,60,68,66,79,75,78,65,73,58,76,59,60,63,81,70,61,53
Precinct 80,19,11,18,31,11,27,47,10,11,22,7.6,8.4,12,13,33,17,23,20,50,40,36,20,90,97,71,68,58546,66567,75030,68656,14,13,-8.5,354,336,347,381,373,418,484,481,554,625,710,747,791,994,859,841,699,187,199,177,217,223,245,253,221,238,271,308,323,339,508,471,461,392,11,10,9.7,9.1,8.7,11,9.2,11,6.7,6.8,6.8,8.1,4.3,5.6,5.7,4.6,5.6,21,24,26,33,29,25,25,22,18,19,16,21,12,11,16,13,12
Precinct 81,20,18,26,16,30,36,19,23,19,22,10,10,14,12,57,59,49,63,54,40,33,14,95,97,58,71,56721,59804,59915,107510,5.4,0.2,79,1450,1391,1420,1565,1594,1644,1493,1423,1449,1557,1706,1889,1901,1861,1740,1654,1444,785,822,904,994,988,995,847,789,726,716,704,758,742,696,662,572,490,16,19,16,18,15,16,21,16,14,14,9.1,10,12,16,15,17,14,29,47,42,49,46,48,42,31,39,39,37,39,44,50,61,48,41
